iter	Passed	Remaining
1507	9261	3021
1508	9267	3015
1509	9273	3009
1510	9278	3002
1511	9284	2996
1512	9290	2990
1513	9299	2985
1514	9310	2980
1515	9321	2976
1516	9332	2971
1517	9341	2966
1518	9351	2961
1519	9361	2956
1520	9371	2951
1521	9382	2946
1522	9391	2941
1523	9402	2936
1524	9412	2931
1525	9421	2926
1526	9430	2921
1527	9440	2916
1528	9450	2911
1529	9459	2905
1530	9469	2900
1531	9479	2895
1532	9488	2890
1533	9499	2885
1534	9508	2880
1535	9518	2875
1536	9529	2870
1537	9538	2865
1538	9548	2860
1539	9558	2855
1540	9569	2850
1541	9579	2845
1542	9588	2839
1543	9599	2835
1544	9610	2830
1545	9620	2825
1546	9630	2820
1547	9641	2815
1548	9652	2810
1549	9663	2805
1550	9673	2800
1551	9684	2795
1552	9696	2790
1553	9708	2786
1554	9719	2781
1555	9731	2776
1556	9742	2772
1557	9753	2767
1558	9765	2762
1559	9775	2757
1560	9787	2752
1561	9798	2747
1562	9808	2742
1563	9818	2737
1564	9830	2732
1565	9841	2727
1566	9850	2722
1567	9861	2716
1568	9871	2711
1569	9881	2706
1570	9891	2701
1571	9902	2696
1572	9915	2691
1573	9926	2686
1574	9937	2681
1575	9948	2676
1576	9960	2671
1577	9972	2667
1578	9984	2662
1579	9996	2657
1580	10009	2652
1581	10022	2648
1582	10033	2643
1583	10045	2638
1584	10058	2633
1585	10072	2629
1586	10085	2624
1587	10097	2619
1588	10108	2614
1589	10119	2609
1590	10131	2604
1591	10142	2599
1592	10154	2594
1593	10167	2589
1594	10179	2584
1595	10190	2579
1596	10202	2574
1597	10213	2569
1598	10224	2564
1599	10237	2559
1600	10249	2554
1601	10258	2548
1602	10268	2543
1603	10278	2537
1604	10288	2531
1605	10298	2526
1606	10308	2520
1607	10320	2515
1608	10331	2510
1609	10340	2504
1610	10352	2499
1611	10361	2494
1612	10371	2488
1613	10383	2483
1614	10393	2477
1615	10402	2471
1616	10412	2466
1617	10421	2460
1618	10431	2454
1619	10441	2449
1620	10451	2443
1621	10461	2438
1622	10471	2432
1623	10481	2426
1624	10491	2421
1625	10503	2415
1626	10513	2410
1627	10523	2404
1628	10533	2398
1629	10544	2393
1630	10555	2387
1631	10565	2382
1632	10575	2376
1633	10585	2371
1634	10596	2365
1635	10606	2359
1636	10616	2354
1637	10627	2348
1638	10638	2343
1639	10648	2337
1640	10659	2331
1641	10668	2326
1642	10679	2320
1643	10689	2314
1644	10698	2308
1645	10709	2303
1646	10718	2297
1647	10731	2292
1648	10743	2286
1649	10754	2281
1650	10765	2275
1651	10777	2270
1652	10788	2264
1653	10797	2258
1654	10807	2253
1655	10817	2247
1656	10827	2241
1657	10837	2235
1658	10847	2229
1659	10858	2224
1660	10867	2218
1661	10878	2212
1662	10889	2206
1663	10899	2200
1664	10909	2194
1665	10919	2189
1666	10930	2183
1667	10941	2177
